"","Year","Team","sbWL","O.yardsperplay","O.completionpercentage","O.passingattemptspergame","O.passingtouchdownspergame","O.passingyardsperattempt","O.rushingattemptspergame","O.rushingyardsperattempt","O.rushingtouchdownspergame","O.penaltyyardspergame","fieldgoalpercentage","D.yardsperplay","D.completionpercentage","D.passingtouchdownspergame","D.passingyardsperattempt","D.rushingyardsperattempt","D.rushingtouchdownspergame","regularseasonwinpercentage","turnovermargin","pointdifferential","numberofpostseasongames"
"1",2017,"Philadelphia Eagles",1,5.535,0.604609929078014,35.25,2.375,6.6258865248227,29.5625,4.47145877378435,0.5625,57.8333333333333,0.868421052631579,5.00725952813067,0.603993344425957,1.5,6.05158069883527,2.67864693446089,0.4375,0.813,11,198,2
"2",2016,"New England Patriots",1,5.85384615384615,0.669090909090909,34.375,2,7.83272727272727,30.125,3.88381742738589,1.1875,47.4736842105263,0.871794871794872,5.28453695836873,0.61744966442953,1.3125,6.38590604026846,2.93983402489627,0.375,0.875,12,234,3
"3",2015,"Denver Broncos",1,5.16826923076923,0.607260726072607,37.875,1.1875,6.55115511551155,25.6875,4.18004866180049,0.8125,63.8947368421053,0.888888888888889,4.48311897106109,0.600349040139616,1.1875,5.57242582897033,3.25304136253041,0.625,0.75,-4,82,3
"4",2014,"New England Patriots",1,5.47327117327117,0.64367816091954,38.0625,2.125,6.76683087027915,27.375,3.94292237442922,0.8125,64.2631578947368,0.947368421052632,5.39958711808423,0.59581881533101,1.5,6.68466898954704,3.81050228310502,0.375,0.75,12,201,3
"5",2013,"Seattle Seahawks",1,5.56050788091068,0.635714285714286,26.25,1.6875,7.7047619047619,31.8125,4.29862475442043,0.875,73.9473684210526,0.953488372093023,4.5848896434635,0.58969465648855,1,5.25190839694656,3.19449901768173,0.25,0.813,20,235,3
"6",2012,"Baltimore Ravens",1,5.54516374714395,0.596428571428571,35,1.375,6.67678571428571,27.75,4.28153153153153,1.0625,66.65,0.918918918918919,5.22667617689016,0.601436265709156,0.9375,6.55296229802513,4.42567567567568,0.9375,0.625,9,90,4
"7",2011,"New York Giants",1,5.91400304414003,0.609507640067912,36.8125,1.8125,8.03735144312394,25.6875,3.47201946472019,1.0625,49.1,0.794117647058823,5.52259036144578,0.612903225806452,1.75,6.93039049235993,4.72019464720195,0.9375,0.563,7,40,4
"8",2010,"Green Bay Packers",1,5.74903846153846,0.650646950092421,33.8125,1.9375,7.62292051756007,26.3125,3.81472684085511,0.6875,40.2,0.78125,5.12780082987552,0.561669829222011,1,5.89563567362429,4.36579572446556,0.375,0.625,10,193,4
"9",2009,"New Orleans Saints",1,6.16688687035508,0.694852941176471,34,2.125,8.00551470588235,29.25,4.5,1.3125,49.3684210526316,0.818181818181818,5.6280193236715,0.574912891986063,0.9375,6.56620209059233,4.17735042735043,1.1875,0.813,11,217,3
"10",2008,"Pittsburgh Steelers",1,4.8841059602649,0.598814229249012,31.625,1.1875,6.52371541501976,28.75,3.67391304347826,1,51.5263157894737,0.888888888888889,4.11755926251097,0.564727954971857,0.75,4.71106941838649,2.79130434782609,0.4375,0.75,4,148,3
"11",2007,"New York Giants",1,5.06915306915307,0.555147058823529,34,1.4375,5.79779411764706,29.3125,4.57995735607676,0.9375,40.35,0.823529411764706,4.87838056680162,0.58508604206501,1.5,6.34225621414914,3.33262260127932,0.75,0.625,-9,42,4
"12",2006,"Indianapolis Colts",1,5.80485584218513,0.649910233393178,34.8125,1.9375,7.7342908438061,27.4375,4.01366742596811,1.0625,42.45,0.909090909090909,5.39586919104991,0.640963855421687,1,6.13975903614458,6.30523917995444,1.25,0.75,7,107,4
"13",2005,"Pittsburgh Steelers",1,5.38787375415282,0.601583113456464,23.6875,1.3125,7.72031662269129,34.3125,4.04918032786885,1.3125,50.2,0.84375,4.70023980815348,0.573770491803279,0.9375,5.77049180327869,2.5063752276867,0.625,0.688,7,176,4
"14",2004,"New England Patriots",1,5.48281505728314,0.604123711340206,30.3125,1.8125,7.3979381443299,32.75,4.07251908396947,0.9375,47.8421052631579,0.947368421052632,5.08889830508475,0.58550185873606,1.125,6.31970260223048,3,0.5625,0.875,9,211,3
"15",2003,"New England Patriots",1,4.88597464342314,0.595903165735568,33.5625,1.4375,6.39106145251397,29.5625,3.39746300211416,0.5625,57.2105263157895,0.727272727272727,4.5362540192926,0.530744336569579,0.6875,5.22977346278317,3.03171247357294,0.625,0.875,17,126,3
"16",2002,"Tampa Bay Buccaneers",1,4.86547811993517,0.613756613756614,35.4375,1.4375,6.07583774250441,25.875,3.76086956521739,0.375,49.7894736842105,0.822222222222222,4.2091066782307,0.507843137254902,0.625,4.88235294117647,3.7536231884058,0.5,0.75,17,219,3
"17",2001,"New England Patriots",1,4.78293289146645,0.634854771784232,30.125,1.3125,6.40871369294606,29.5625,3.7906976744186,0.9375,49.2105263157895,0.810810810810811,5.20181219110379,0.547619047619048,0.9375,6.40476190476191,3.92177589852008,0.4375,0.688,7,112,3
"18",2000,"Baltimore Ravens",1,4.60591900311526,0.569444444444444,31.5,1.25,5.58531746031746,31.9375,4.30332681017613,0.5625,48.75,0.872340425531915,4.06069315300085,0.558712121212121,0.6875,5.67613636363636,1.89823874755382,0.3125,0.75,23,240,4
"19",1999,"St. Louis Rams",1,6.46316239316239,0.647169811320755,33.125,2.625,8.21320754716981,26.9375,4.77726218097448,0.8125,56.2105263157895,0.685714285714286,4.76661129568106,0.535234899328859,1.1875,5.88758389261745,2.75870069605568,0.25,0.813,5,308,3
"20",1998,"Denver Broncos",1,5.87610619469027,0.590631364562118,30.6875,2,7.38085539714868,32.8125,4.70095238095238,1.625,61.6842105263158,0.828571428571429,5.01625531914894,0.578859060402685,1.75,6.12080536912752,2.45142857142857,0.5,0.875,10,255,3
"21",1997,"Denver Broncos",1,5.53181818181818,0.559454191033138,32.0625,1.6875,6.81091617933723,32.5,4.57307692307692,1.125,62.5,0.731707317073171,4.95125628140704,0.551330798479088,1.25,5.45247148288973,3.46730769230769,0.625,0.75,10,224,4
"22",1996,"Green Bay Packers",1,5.23333333333333,0.598540145985402,34.25,2.4375,6.7463503649635,29.0625,3.95268817204301,0.5625,42.3684210526316,0.764705882352941,4.18974137931035,0.520220588235294,0.75,5.03676470588235,3.04516129032258,0.4375,0.813,15,298,3
"23",1995,"Dallas Cowboys",1,5.75948203842941,0.651821862348178,30.875,1.125,7.33400809716599,30.9375,4.44646464646465,1.8125,46,0.942857142857143,4.93230383973289,0.560229445506692,1.0625,6.25621414913958,3.57979797979798,0.8125,0.75,2,184,3
"24",1994,"San Francisco 49ers",1,5.78533225283631,0.702544031311155,31.9375,2.3125,8.146771037182,30.6875,3.86354378818737,1.4375,50.2105263157895,0.739130434782609,4.8208674304419,0.564322469982847,0.9375,6.00514579759863,2.72505091649694,1,0.813,11,271,3
